Vulnerability ID,Vulnerability Name,FIELD3,FIELD4,FIELD5,FIELD6,FIELD7,FIELD8,FIELD9,FIELD10,FIELD11,FIELD12,FIELD13,FIELD14,FIELD15,FIELD16,FIELD17,FIELD18,FIELD19,FIELD20,FIELD21,FIELD22,FIELD23,FIELD24,FIELD25,FIELD26,FIELD27,FIELD28,FIELD29,FIELD30,FIELD31,FIELD32,FIELD33,FIELD34,FIELD35,FIELD36,FIELD37,FIELD38,FIELD39,FIELD40,FIELD41,FIELD42,FIELD43,FIELD44,FIELD45,FIELD46,FIELD47,FIELD48,FIELD49,FIELD50
1,Clear text traffic,6,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Weak or broken encryption,5,6,10,11,12,13,14,15,16,17,22,26,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Weak pseudo-random number generator,5,6,10,11,12,13,14,15,16,17,22,26,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,No session identifiers (session tokens- OTP- etc.),41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Lack of message integrity check (nonce- MACs- etc.),27,28,40,41,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Key and Token reuse,5,10,11,12,13,14,15,16,17,22,26,28,51,81,82,84,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Identity verification (e.g. certificate pinning),27,28,40,41,42,77,78,81,82,83,84,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Data is identifiable and not anonymized,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Identification options and HTTP trace methods are enabled,1,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Unchecked protocol parameters,6,24,34,36,39,40,43,45,90,99,100,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Non-standard protocol implementation,6,24,34,36,39,40,43,45,90,99,100,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Vulnerable protocol design,6,24,34,36,39,40,43,45,90,99,100,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Application does not use SSL connection to cloud,6,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Easy discovery of IoT devices on LAN,2,8,9,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,No jamming countermeasures,95,96,97,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Insuffcient backup DNS or IPs,29,30,31,32,33,34,35,36,39,40,43,44,45,46,64,65,66,67,68,69,70,74,90,93,94,99,100,101,110,,,,,,,,,,,,,,,,,,,
17,No alternative network infrastructure,29,30,31,32,33,34,35,36,39,40,43,44,45,46,64,65,66,67,68,69,70,74,93,94,99,100,101,110,,,,,,,,,,,,,,,,,,,,
18,No or insuffcient DDoS countermeasures,29,30,31,32,33,34,35,36,39,40,43,44,45,46,64,65,66,67,68,69,70,74,91,92,93,94,95,96,97,98,99,100,101,110,,,,,,,,,,,,,,
19,No enforcement or possibility of strong password,23,26,77,78,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,No mutual authentication between client and server,7,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,No lock-out or delaying measures to protect accounts against brute-force attacks,23,26,71,77,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,No automatic session/logout timeout function,51,82,84,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,No protection against account harvesting,1,18,48,50,73,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Unauthenticated requests to perform actions (ex. reconon- data retrieval- management functions- etc.)gurati,20,24,42,48,49,53,54,59,60,73,74,77,78,79,80,102,103,104,105,106,109,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Ability to perform unrequested rmware upgrades,74,77,78,79,80,83,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Cloud interface does not support two-factor authentication,7,77,78,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Cloud platform contains common web application/management console vulnerabilities,20,24,48,49,50,51,52,53,54,55,56,57,58,59,73,74,75,81,82,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Security audit vulnerabilities - security audit functions miss,91,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,No redundancy of storage or service,29,31,32,33,34,36,64,65,66,67,68,69,70,74,105,109,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Some security features are left unenabled,1,2,5,6,18,19,20,22,23,24,26,28,29,30,31,33,34,35,36,39,40,41,74,75,77,78,79,80,81,82,83,84,85,91,92,93,94,95,96,97,98,102,103,104,105,107,108,109
31,No authentication,77,78,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Weak or default passwords,23,26,77,78,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Hardcoded security information,20,23,26,77,78,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Unsafe password recovery procedure,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Programming modification/reconfiguration,20,59,60,61,62,63,104,105,107,108,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,No lock-out or delaying measures to protect accounts against brute-force attacks,23,26,71,77,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Existence of a kill command that permanently disables device,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Ignoring certificate revocation lists,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Unchecked resource buffers,20,24,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Insecure 3rd party APIs,20,24,50,60,61,62,74,75,77,78,79,80,104,107,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Unencrypted local storage,1,3,48,77,78,79,80,83,88,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Administration interface contains common web application/management console vulnerabilities,20,24,48,49,50,51,52,53,54,55,56,57,58,59,74,75,81,82,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Unnecessary privileges,1,20,79,80,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Exposed services on open ports,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Unnecessary or unused services and applications,1,2,19,20,22,23,24,26,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,79,80,85,,,,,,,,,,,,,,,,,,,,,
46,Insecure boot process,51,52,53,55,56,57,58,59,61,85,104,105,107,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,No update mechanism,20,24,48,49,50,51,52,53,54,55,59,60,61,62,63,102,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,No automated update mechanism,20,24,48,49,50,51,52,53,54,55,59,60,61,62,63,102,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,No manual update mechanism,20,24,48,49,50,51,52,53,54,55,59,60,61,62,63,102,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,No encryption on all updates,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,No integrity check on all updates,42,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,No authenticity check on all updates,42,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,No physical security (i.e. physical barriers- locks or access controls),86,87,88,110,111,113,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,No hardware tamper protection,3,4,7,21,25,110,111,112,113,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,No control of sensor environment (e.g. can blind a camera- or put a heat source in front of a temperature sensor),89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Removable media,1,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Reset switch leading to insecure state,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,In production or integration supply chain (i.e. use of faulty component),3,4,7,21,25,110,111,112,113,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,In deployment infrastructure (i.e. power failure),3,4,7,21,25,110,111,112,113,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
